Year,Pop.,Growth,Region
1990,198232000,+3.00%,Eastern Africa
1990,70886000,+2.92%,Middle Africa
1990,140117000,+2.74%,Northern Africa
1990,42049000,+2.45%,Southern Africa
1990,180331000,+2.76%,Western Africa
1990,631614000,+2.83%,Total Africa
1990,727522000,+1.62%,Total Americas
1990,34198000,+1.40%,Caribbean
1990,114823000,+2.19%,Central America
1990,280633000,+0.99%,Northern America
1990,429653000,+1.33%,Total North America
1990,297869000,+2.06%,Total South America
1990,50407929,+2.02%,Central Asia
1990,1368592000,+1.55%,Eastern Asia
1990,445665000,+2.21%,South-eastern Asia
1990,1189261000,+2.39%,Southern Asia
1990,148552000,+2.70%,Western Asia
1990,3202475000,+2.01%,Total Asia
1990,310027000,+0.50%,Eastern Europe
1990,92040000,+0.24%,Northern Europe
1990,143404000,+0.35%,Southern Europe
1990,175615000,+0.30%,Western Europe
1990,721086000,+0.39%,Total Europe
1990,26971000,+1.62%,Total Oceania
1990,5309668000,+1.81%,Total World
