Year,Pop,Growth,Type,Name
1980,147512000,2.94,Region,Eastern Africa
1980,53135000,2.67,Region,Middle Africa
1980,106908000,2.58,Region,Northern Africa
1980,32997000,2.63,Region,Southern Africa
1980,137414000,2.63,Region,Western Africa
1980,477965000,2.72,Continent,Africa
1980,619252000,1.77,Continent,Americas
1980,29748000,1.63,Region,Caribbean
1980,92425000,2.86,Region,Central America
1980,254217000,0.96,Region,Northern America
1980,376390000,1.45,Continent,North America
1980,242862000,2.3,Continent,South America
1980,41277000,2.21,Region,Central Asia
1980,1173372000,1.84,Region,Eastern Asia
1980,358106000,2.44,Region,South-eastern Asia
1980,939043000,2.39,Region,Southern Asia
1980,113786000,2.83,Region,Western Asia
1980,2625584000,2.16,Continent,Asia
1980,295042000,0.65,Region,Eastern Europe
1980,89833000,0.29,Region,Northern Europe
1980,138495000,0.82,Region,Southern Europe
1980,170489000,0.27,Region,Western Europe
1980,693859000,0.54,Continent,Europe
1980,22972000,1.55,Continent,Oceania
1980,4439632000,1.89,Continent,World
